"","state","abbrev","county","WHITE_Mail10"
"96","Arizona","AZ","Gila",1
"97","Arizona","AZ","La Paz",0
"98","Arizona","AZ","Maricopa",0
"99","Arizona","AZ","Mohave",0
"100","Arizona","AZ","Pima",1
"101","Arizona","AZ","Santa Cruz",0
"102","Arizona","AZ","Pinal",0
"103","Arizona","AZ","Yuma",0
"104","Arizona","AZ","Graham",0
"105","Arizona","AZ","Greenlee",0
"106","Arizona","AZ","Coconino",6
"107","Arizona","AZ","Apache",1
"108","Arizona","AZ","Navajo",0
"109","Arizona","AZ","Cochise",1
"110","Arizona","AZ","Yavapai",4
"141","Arkansas","AR","Benton",1
"170","Arkansas","AR","Pulaski",2
"182","Arkansas","AR","Washington",0
"190","California","CA","Yuba",389
"191","California","CA","Shasta",37496
"192","California","CA","Ventura",7052
"193","California","CA","Yolo",303
"195","California","CA","Solano",574
"196","California","CA","Lake",10937
"197","California","CA","Butte",39154
"198","California","CA","San Diego",1971
"199","California","CA","San Francisco",2133
"201","California","CA","Tulare",5022
"203","California","CA","Santa Clara",24015
"204","California","CA","Kings",55
"205","California","CA","Santa Cruz",40090
"209","California","CA","Sonoma",110067
"210","California","CA","Stanislaus",305
"211","California","CA","El Dorado",401
"212","California","CA","Fresno",8400
"213","California","CA","San Joaquin",5240
"214","California","CA","San Luis Obispo",781
"215","California","CA","San Mateo",85625
"216","California","CA","Kern",9202
"217","California","CA","Alameda",1254
"218","California","CA","Placer",7630
"220","California","CA","Riverside",186309
"221","California","CA","Los Angeles",2211
"222","California","CA","Contra Costa",10321
"224","California","CA","San Bernardino",1377
"225","California","CA","Marin",1942
"227","California","CA","Humboldt",23036
"228","California","CA","Imperial",32
"230","California","CA","Santa Barbara",63609
"237","California","CA","Madera",816
"238","California","CA","Merced",141
"239","California","CA","Napa",21532
"240","California","CA","Mendocino",284
"241","California","CA","Orange",7314
"242","California","CA","Monterey",393
"243","California","CA","Sacramento",6762
"314","Connecticut","CT","Fairfield",0
"319","Florida","FL","Leon",0
"321","Florida","FL","Highlands",0
"325","Florida","FL","Hillsborough",0
"327","Florida","FL","Monroe",0
"328","Florida","FL","Orange",0
"329","Florida","FL","Osceola",0
"330","Florida","FL","Miami-Dade",0
"333","Florida","FL","Manatee",0
"334","Florida","FL","Marion",0
"339","Florida","FL","Brevard",0
"354","Florida","FL","Lake",0
"355","Florida","FL","Broward",0
"357","Florida","FL","Palm Beach",0
"359","Florida","FL","Pinellas",0
"360","Florida","FL","Polk",0
"361","Florida","FL","Clay",0
"362","Florida","FL","Collier",0
"365","Florida","FL","Sarasota",0
"371","Florida","FL","Volusia",0
"376","Florida","FL","St. Johns",0
"377","Florida","FL","St. Lucie",0
"380","Florida","FL","Charlotte",0
"383","Florida","FL","Duval",0
"384","Florida","FL","Escambia",0
"449","Georgia","GA","Fulton",0
"454","Georgia","GA","Muscogee",0
"474","Georgia","GA","DeKalb",0
"487","Georgia","GA","Clayton",0
"504","Georgia","GA","Whitfield",0
"527","Georgia","GA","Gwinnett",0
"543","Georgia","GA","Cobb",0
"544","Georgia","GA","Hall",0
"545","Hawaii","HI","Honolulu",0
"546","Hawaii","HI","Hawaii",0
"547","Hawaii","HI","Maui",0
"565","Idaho","ID","Canyon",0
"581","Idaho","ID","Ada",0
"600","Illinois","IL","Kane",0
"601","Illinois","IL","Clinton",0
"604","Illinois","IL","Champaign",0
"605","Illinois","IL","Christian",0
"619","Illinois","IL","Jackson",0
"623","Illinois","IL","Alexander",0
"624","Illinois","IL","Franklin",0
"631","Illinois","IL","Lake",0
"634","Illinois","IL","Vermilion",0
"651","Illinois","IL","Washington",0
"653","Illinois","IL","Madison",0
"656","Illinois","IL","St. Clair",0
"658","Illinois","IL","Stephenson",0
"663","Illinois","IL","Pulaski",0
"671","Illinois","IL","Massac",0
"673","Illinois","IL","DuPage",1
"676","Illinois","IL","Effingham",0
"681","Illinois","IL","Marion",0
"684","Illinois","IL","Will",0
"685","Illinois","IL","Williamson",0
"686","Illinois","IL","McHenry",0
"687","Illinois","IL","Winnebago",0
"881","Iowa","IA","Polk",0
"1106","Kentucky","KY","Fayette",0
"1116","Louisiana","LA","East Baton Rouge Parish",1
"1142","Louisiana","LA","Terrebonne Parish",0
"1159","Louisiana","LA","Lafourche Parish",0
"1168","Louisiana","LA","Jefferson Parish",0
"1174","Louisiana","LA","Orleans Parish",1
