state	county	Year	abbrev	aor	activationdate	submissions	identmatch_lescl1	identmatch_lescl23	identmatch_total	removals_convictedcriminalsl1	removals_convictedcriminalsl2	removals_convictedcriminalsl3	removals_icefugitives12	priorremovalsandreturns13	ewisvisaviolatorsandoverstays1	removals_total	observ	T02A_001	T02A_002	T02A_003	T073_001	censusjurmerge	Early	Mail	Polling	Unknown	Null	Absentee	CVAP	allmissing	GEOid2	GEOid	latinovote	latinoturnout	citpctlatino	stateid	had_govelection	had_senelection
"Alabama"	"Autauga"	2002	"AL"	"NOL"	"4/26/2011"	"2,743"	"1"	"10"	"11"	0	0	0	0	0	0	"0"	1	604.3882	594.4361	9.952067	15248	3	0	0	33	5	427	0	159	0	1001	"0500000US01001"	38	.2389937	.0103168	41	1	1
"Alabama"	"Autauga"	2006	"AL"	"NOL"	"4/26/2011"	"2,743"	"1"	"10"	"11"	0	0	0	0	0	0	"0"	1	604.3882	594.4361	9.952067	15248	3	0	0	4	42	384	0	548	0	1001	"0500000US01001"	46	.0839416	.0103168	41	1	0
"Alabama"	"Autauga"	2010	"AL"	"NOL"	"4/26/2011"	"2,743"	"1"	"10"	"11"	0	0	0	0	0	0	"0"	1	604.3882	594.4361	9.952067	15248	3	0	0	0	65	365	0	548	0	1001	"0500000US01001"	65	.1186131	.0103168	41	1	1
"Alabama"	"Baldwin"	2002	"AL"	"NOL"	"4/26/2011"	"13,156"	"51"	"273"	"324"	14	27	35	3	11	9	"99"	2	2027.311	1589.784	437.5272	53071	3	0	0	72	12	2092	0	1132	0	1003	"0500000US01003"	84	.0742049	.0146161	41	1	1
"Alabama"	"Baldwin"	2006	"AL"	"NOL"	"4/26/2011"	"13,156"	"51"	"273"	"324"	14	27	35	3	11	9	"99"	2	2027.311	1589.784	437.5272	53071	3	0	0	99	6	1925	0	1093	0	1003	"0500000US01003"	105	.0960659	.0146161	41	1	0
"Alabama"	"Baldwin"	2010	"AL"	"NOL"	"4/26/2011"	"13,156"	"51"	"273"	"324"	14	27	35	3	11	9	"99"	2	2027.311	1589.784	437.5272	53071	3	0	0	0	230	1800	0	3074	0	1003	"0500000US01003"	230	.0748211	.0146161	41	1	1
"Alabama"	"Barbour"	2002	""	""	""	""	""	""	""							""	3	904.5153	884.8763	19.63898	6556	2	0	0	7	0	217	0	133	0	1005	"0500000US01005"	7	.0526316	.0118367	41	1	1
"Alabama"	"Barbour"	2006	""	""	""	""	""	""	""							""	3	904.5153	884.8763	19.63898	6556	2	0	0	7	0	206	0	272	0	1005	"0500000US01005"	7	.0257353	.0118367	41	1	0
"Alabama"	"Barbour"	2010	""	""	""	""	""	""	""							""	3	904.5153	884.8763	19.63898	6556	2	0	0	0	13	200	0	272	0	1005	"0500000US01005"	13	.0477941	.0118367	41	1	1
"Alabama"	"Blount"	2002	"AL"	"NOL"	"4/26/2011"	"1,518"	"6"	"35"	"41"	0	0	3	0	1	2	"6"	5	650.6282	644.7759	5.852321	17384	3	0	0	23	1	1456	0	530	0	1009	"0500000US01009"	24	.045283	.0114616	41	1	1
