,abbrev,state,stateid,State,ICEsignature,administratorsignature,fips,sigdate,impdate,byelectionday,had_senelection2004,had_senelection2002,had_govelection2002,had_govelection2004,had_senelection2010,had_senelection2006,had_senelection2008,had_govelection2010,had_govelection2006,had_govelection2007,had_govelection2008,constreat,X.1996,countvar.1996,latinocitizenturnout.1996,X.1998,countvar.1998,latinocitizenturnout.1998,X.2000,countvar.2000,latinocitizenturnout.2000,X.2002,countvar.2002,latinocitizenturnout.2002,X.2004,countvar.2004,latinocitizenturnout.2004,X.2006,countvar.2006,latinocitizenturnout.2006,statetreat
1,AK,Alaska,81,NA,NA,NA,NA,NA,10/04/2012,0,1,1,1,0,1,0,1,1,1,0,0,0,1,26,0.6666667,2,41,0.5882353,3,52,0.6190476,4,85,0.6969697,5,114,0.6888889,6,67,0.5454546,0
2,AL,Alabama,41,AL,11/08/2010,11/02/2010,1,02/11/2010,NA,NA,1,1,1,0,1,0,1,1,1,0,0,0,7,14,0.25,8,14,0.75,9,14,0.8,10,20,0,11,18,1,12,27,0.8,0
3,AR,Arkansas,42,NA,NA,NA,NA,NA,15/05/2012,0,1,1,1,0,1,0,1,1,1,0,0,0,13,16,0.1666667,14,18,0.25,15,56,0.6666667,16,73,0.4444444,17,72,0.3333333,18,96,0.3333333,0
4,AZ,Arizona,61,AZ,12/09/2009,12/01/2009,4,01/12/2009,26/10/2010,1,1,0,1,0,1,1,0,1,1,0,0,0,19,462,0.496063,20,485,0.3034483,21,599,0.4541485,22,536,0.3680556,23,615,0.613924,24,622,0.4777778,0
5,CA,California,71,CA,05/08/2009,04/10/2009,6,10/04/2009,12/01/2010,1,1,0,1,0,1,1,0,1,1,0,0,0,25,3034,0.6071964,26,3259,0.5630137,27,3392,0.6455224,28,3267,0.4555695,29,3886,0.6447917,30,4088,0.5185537,0
6,CO,Colorado,62,CO,01/06/2011,01/04/2011,8,04/01/2011,22/05/2012,0,1,1,1,0,1,0,1,1,1,0,0,0,31,197,0.5416667,32,232,0.4285714,33,323,0.5350877,34,504,0.4671533,35,567,0.5352941,36,566,0.4921466,0
7,CT,Connecticut,1,CT,06/03/2010,05/19/10,9,19/05/2010,21/02/2012,0,1,0,1,0,1,1,0,1,1,0,0,0,37,104,0.6071429,38,130,0.4186046,39,84,0.6666667,40,221,0.5517241,41,205,0.7090909,42,356,0.5316456,0
8,DE,Delaware,11,DE,03/16/10,01/19/10,10,19/01/2010,20/04/2010,1,0,1,0,1,1,1,1,0,0,0,1,1,49,50,0.5789474,50,35,0.4545455,51,48,0.8461539,52,95,0.7142857,53,153,0.8235294,54,150,0.5,1
9,FL,Florida,43,FL,06/07/2010,06/01/2010,12,01/06/2010,22/06/2010,1,1,0,1,0,1,1,0,1,1,0,0,1,55,827,0.7692308,56,947,0.6753247,57,1096,0.7909968,58,1013,0.6744967,59,1037,0.8301282,60,1307,0.5857143,1
10,GA,Georgia,44,GA,11/02/2009,10/29/09,13,29/10/2009,06/12/2011,0,1,1,1,0,1,0,1,1,1,0,0,0,61,46,0.5555556,62,48,0.4375,63,69,0.7,64,80,0.6666667,65,164,0.6153846,66,269,0.4615385,0
11,HI,Hawaii,82,HI,03/18/10,03/10/2010,15,10/03/2010,20/09/2011,0,1,0,1,0,1,1,0,1,1,0,0,0,67,27,0.625,68,45,0.5,69,45,0.6111111,70,57,0.3461539,71,124,0.5084746,72,124,0.5084746,0
12,IA,Iowa,31,IA,05/06/2010,05/02/2010,19,02/05/2010,24/01/2012,0,1,1,1,0,1,0,1,1,1,0,0,0,73,25,0.5,74,25,0,75,74,0.7692308,76,98,0.5,77,97,0.6666667,78,116,0.1578947,0
13,ID,Idaho,63,ID,04/10/2010,04/01/2010,16,01/04/2010,29/11/2011,0,1,1,1,0,1,0,1,1,1,0,0,0,79,98,0.2222222,80,167,0.2352941,81,146,0.2647059,82,129,0.2564103,83,187,0.3478261,84,176,0.2631579,0
14,IL,Illinois,21,IL,11/20/09,11/02/2009,17,02/11/2009,05/10/2010,1,1,1,1,0,1,0,1,1,1,0,0,0,85,416,0.6923077,86,500,0.5454546,87,543,0.7058824,88,529,0.4820144,89,608,0.721519,90,536,0.48,0
15,IN,Indiana,22,IN,10/22/10,10/08/2010,18,08/10/2010,10/05/2011,0,1,0,0,1,1,1,0,0,0,0,1,0,91,20,0.5,92,34,0.1333333,93,45,0.5454546,94,64,0.2941177,95,93,0.5517241,96,113,0.3076923,0
16,KS,Kansas,32,KS,10/28/10,10/25/10,20,25/10/2010,27/12/2011,0,1,1,1,0,1,0,1,1,1,0,0,0,97,32,0.5454546,98,62,0.25,99,50,0.3333333,100,218,0.3333333,101,165,0.7,102,141,0.2765957,0
17,KY,Kentucky,51,KY,04/23/10,04/02/2010,21,02/04/2010,20/03/2012,0,1,1,0,0,1,0,1,0,0,1,0,0,103,6,0.5,104,23,0,105,45,0.8571429,106,12,0.4,107,34,1,108,30,0.7142857,0
18,LA,Louisiana,45,LA,11/30/09,11/26/09,22,26/11/2009,01/05/2012,0,1,1,0,0,1,0,1,0,0,1,0,0,109,34,0.5,110,35,0.3571429,111,22,0.7,112,67,0.4642857,113,37,1,114,48,0.8,0
19,MA,Massachusetts,3,NA,NA,NA,NA,NA,15/05/2012,0,0,1,1,0,0,1,1,1,1,0,0,0,115,125,0.6363636,116,172,0.5652174,117,165,0.5,118,186,0.4722222,119,187,0.72,120,134,0.5428572,0
20,MD,Maryland,52,MD,11/04/2009,10/27/09,24,27/10/2009,19/04/2011,0,1,0,1,0,1,1,0,1,1,0,0,0,121,45,0.8333333,122,40,0.625,123,54,0.8888889,124,89,0.6470588,125,179,0.7941176,126,260,0.8541667,0
21,ME,Maine,2,NA,NA,NA,NA,NA,30/05/2012,0,0,1,1,0,0,1,1,1,1,0,0,0,127,4,0.5,128,7,0.6666667,129,7,0.75,130,8,0.5714286,131,24,1,132,11,0.3333333,0
22,MI,Michigan,23,MI,10/20/09,10/01/2009,26,01/10/2009,27/09/2011,0,0,1,1,0,0,1,1,1,1,0,0,0,133,102,0.5777778,134,120,0.4,135,106,0.5483871,136,145,0.3846154,137,137,0.6923077,138,148,0.6521739,0
23,MN,Minnesota,33,NA,NA,NA,NA,NA,07/02/2012,0,0,1,1,0,0,1,1,1,1,0,0,0,139,40,0.75,140,35,0.5,141,27,0.6,142,70,0.7058824,143,92,0.8125,144,168,0.5652174,0
24,MO,Missouri,34,MO,04/02/2010,03/24/10,29,24/03/2010,08/11/2011,0,1,1,0,1,1,1,0,0,0,0,1,0,145,25,0.4117647,146,19,0.4285714,147,21,0.8,148,28,0.6666667,149,68,0.65,150,81,0.68,0
25,MS,Mississippi,46,MS,04/02/2010,03/26/10,28,26/03/2010,26/07/2011,0,0,1,0,0,0,1,1,0,0,1,0,0,151,7,0.25,152,10,0.4,153,17,0.2857143,154,40,0.2222222,155,26,0.5454546,156,23,0,0
26,MT,Montana,64,MT,02/22/10,02/05/2010,30,05/02/2010,03/04/2012,0,0,1,0,1,0,1,1,0,0,0,1,0,157,24,0.4166667,158,22,0.2857143,159,32,0.6521739,160,35,0.4,161,34,0.4117647,162,30,0.3076923,0
27,NC,North Carolina,47,NC,11/02/2009,10/23/09,37,23/10/2009,08/09/2010,1,1,1,0,1,1,0,1,0,0,0,1,0,163,85,0.3333333,164,92,0.0769231,165,149,0.5294118,166,136,0.5,167,164,0.45,168,188,0.2727273,0
28,ND,North Dakota,36,NA,NA,NA,NA,NA,10/04/2012,0,1,0,0,1,1,1,0,0,0,0,1,0,169,14,0.5,170,6,0,171,20,0.4,172,30,0.1764706,173,22,0.3333333,174,34,0.3333333,0
29,NE,Nebraska,35,NE,02/12/2010,01/29/10,31,29/01/2010,06/03/2012,0,0,1,1,0,0,1,1,1,1,0,0,0,175,57,0.2272727,176,54,0.2,177,95,0.5769231,178,171,0.3225806,179,244,0.5116279,180,157,0.5,0
30,NH,New Hampshire,4,NA,NA,NA,NA,NA,08/05/2012,0,1,1,1,1,1,0,1,1,1,0,1,0,181,8,0.75,182,21,0.3333333,183,24,0.8,184,37,0.7142857,185,34,0.9090909,186,45,0.2307692,0
31,NJ,New Jersey,12,NA,NA,NA,NA,NA,21/02/2012,0,0,1,0,0,0,1,1,0,0,0,0,0,187,395,0.7686567,188,378,0.6078432,189,366,0.7570093,190,472,0.5729167,191,476,0.8114754,192,457,0.6111111,0
32,NM,New Mexico,66,NM,10/02/2009,09/24/09,35,24/09/2009,09/11/2010,0,0,1,1,0,0,1,1,1,1,0,0,0,193,810,0.5456919,194,723,0.5274152,195,698,0.5140449,196,687,0.5014578,197,647,0.6492308,198,482,0.6085271,0
33,NV,Nevada,65,NV,03/17/10,03/08/2010,32,08/03/2010,05/10/2010,1,1,0,1,0,1,1,0,1,1,0,0,0,199,211,0.4146341,200,263,0.2352941,201,345,0.6166667,202,615,0.3984375,203,499,0.71,204,514,0.3781513,0
34,NY,New York,13,NY,12/27/10,12/28/10,36,28/12/2010,15/05/2012,0,1,0,1,0,1,1,0,1,1,0,0,0,205,995,0.6745763,206,1213,0.6423611,207,963,0.7122302,208,969,0.4831461,209,885,0.7459677,210,911,0.5352113,0
35,OH,Ohio,24,OH,10/26/09,10/02/2009,39,02/10/2009,19/04/2011,0,1,0,1,0,1,1,0,1,1,0,0,0,211,59,0.6,212,48,0.4347826,213,67,0.6153846,214,86,0.3461539,215,135,0.85,216,138,0.475,0
36,OK,Oklahoma,53,OK,10/20/09,09/23/09,40,23/09/2009,30/11/2010,0,1,1,1,0,1,0,1,1,1,0,0,0,217,50,0.4285714,218,51,0.2857143,219,60,0.5,220,103,0.5,221,87,0.5,222,89,0.2857143,0
37,OR,Oregon,72,OR,12/28/09,12/03/2009,41,03/12/2009,04/05/2010,1,1,1,1,0,1,0,1,1,1,0,0,0,223,62,0.3888889,224,122,0.2333333,225,129,0.5833333,226,185,0.4193548,227,153,0.5588235,228,123,0.5714286,0
38,PA,Pennsylvania,14,NA,NA,NA,NA,NA,30/05/2012,0,1,0,1,0,1,1,0,1,1,0,0,0,229,121,0.5333334,230,169,0.375,231,143,0.6,232,172,0.48,233,158,0.66,234,149,0.5,0
