"","state","abbrev","county","State","stateid","GEOid2","GEOid","constreat"
"1","Alabama","","Winston","AL",41,1133,"0500000US01133",0
"2","Alabama","AL","Dallas","AL",41,1047,"0500000US01047",0
"3","Alabama","AL","Coosa","AL",41,1037,"0500000US01037",0
"4","Alabama","AL","Cullman","AL",41,1043,"0500000US01043",0
"5","Alabama","AL","Baldwin","AL",41,1003,"0500000US01003",0
"6","Alabama","","Walker","AL",41,1127,"0500000US01127",0
"7","Alabama","AL","Washington","AL",41,1129,"0500000US01129",0
"8","Alabama","AL","Etowah","AL",41,1055,"0500000US01055",0
"9","Alabama","","Dale","AL",41,1045,"0500000US01045",0
"10","Alabama","","Barbour","AL",41,1005,"0500000US01005",0
"11","Alabama","AL","Franklin","AL",41,1059,"0500000US01059",0
"12","Alabama","","Geneva","AL",41,1061,"0500000US01061",0
"13","Alabama","","Covington","AL",41,1039,"0500000US01039",0
"14","Alabama","","Crenshaw","AL",41,1041,"0500000US01041",0
"15","Alabama","AL","Shelby","AL",41,1117,"0500000US01117",0
"16","Alabama","AL","DeKalb","AL",41,1049,"0500000US01049",0
"17","Alabama","AL","Elmore","AL",41,1051,"0500000US01051",0
"18","Alabama","AL","Autauga","AL",41,1001,"0500000US01001",0
"19","Alabama","","Lauderdale","AL",41,1077,"0500000US01077",0
"20","Alabama","AL","Lawrence","AL",41,1079,"0500000US01079",0
"21","Alabama","AL","Lee","AL",41,1081,"0500000US01081",0
"22","Alabama","","Fayette","AL",41,1057,"0500000US01057",0
"23","Alabama","","Coffee","AL",41,1031,"0500000US01031",0
"24","Alabama","","Bibb","AL",41,1007,"0500000US01007",0
"25","Alabama","AL","Blount","AL",41,1009,"0500000US01009",0
"26","Alabama","","Greene","AL",41,1063,"0500000US01063",0
"27","Alabama","AL","Hale","AL",41,1065,"0500000US01065",0
"28","Alabama","","Henry","AL",41,1067,"0500000US01067",0
"29","Alabama","","St. Clair","AL",41,1115,"0500000US01115",0
"30","Alabama","","Sumter","AL",41,1119,"0500000US01119",0
"31","Alabama","AL","Talladega","AL",41,1121,"0500000US01121",0
"32","Alabama","AL","Escambia","AL",41,1053,"0500000US01053",0
